"UserID","sex","age"
"ID10000097","M",20
"ID10000098","M",37
"ID10000099","F",58
"ID20000100","M",16
"ID10000101","M",46
"ID10000102","F",53
"ID20000103","F",58
"ID10000104","M",35
"ID10000105","F",55
"ID20000106","F",58
"ID10000107","F",53
"ID10000108","M",40
"ID10000109","F",56
"ID20000110","M",34
"ID10000111","M",30
"ID10000112","M",44
"ID10000113","M",38
"ID10000114","M",30
"ID10000115","M",35
"ID20000116","F",53
"ID10000117","M",32
"ID10000118","M",35
"ID10000119","M",37
"ID20000120","F",50
"ID20000121","M",44
"ID20000122","F",51
"ID20000123","M",37
"ID20000124","F",57
"ID20000125","M",37
"ID20000126","M",43
"ID10000127","M",27
"ID10000128","F",55
"ID20000129","M",26
"ID10000130","M",45
"ID20000131","M",37
"ID10000132","F",56
"ID20000133","F",58
"ID20000134","M",41
"ID20000135","M",36
"ID20000136","F",53
"ID20000137","M",29
"ID10000138","F",57
"ID20000139","F",52
"ID20000140","M",34
"ID20000141","M",35
"ID20000142","M",33
"ID10000143","M",33
"ID20000144","M",31
"ID20000145","M",37
"ID10000146","M",36
"ID10000147","F",53
"ID20000148","M",50
"ID10000149","F",58
"ID20000150","F",56
"ID10000151","F",58
"ID20000152","M",47
"ID20000153","F",55
"ID20000154","M",35
"ID20000155","M",41
"ID10000156","F",61
"ID20000157","M",30
"ID20000158","M",32
"ID20000159","F",49
"ID10000160","M",32
"ID10000161","F",57
"ID20000162","F",57
"ID20000163","F",53
"ID10000164","M",43
"ID20000165","M",34
"ID10000166","M",36
"ID20000167","M",40
"ID20000168","F",59
"ID10000169","F",52
"ID20000170","M",28
"ID20000171","M",35
"ID10000172","F",60
"ID20000173","M",33
"ID20000174","M",25
"ID20000175","M",43
"ID10000176","M",42
"ID10000177","M",32
"ID10000178","M",36
"ID10000179","M",33
"ID20000180","F",52
"ID20000181","M",48
"ID10000182","F",49
"ID20000183","M",37
"ID20000184","M",24
"ID10000185","F",60
"ID20000186","M",22
"ID10000187","M",34
"ID20000188","F",54
"ID20000189","F",54
"ID10000190","M",31
"ID20000191","M",26
"ID20000192","F",56
"ID10000193","F",52
"ID20000194","F",57
"ID10000195","F",53
"ID20000196","M",24
"ID10000197","F",51
"ID10000198","F",54
"ID20000199","F",52
"ID10000200","F",53
"ID20000201","M",28
"ID20000202","F",59
"ID20000203","M",38
"ID10000204","F",52
"ID20000205","M",33
"ID10000206","F",55
"ID10000207","F",58
"ID10000208","M",22
"ID20000209","M",28
"ID10000210","M",40
"ID10000211","F",49
"ID20000212","M",33
"ID10000213","M",30
"ID10000214","M",31
"ID10000215","F",56
"ID20000216","M",20
"ID20000217","F",55
"ID10000218","M",34
"ID20000219","M",29
"ID10000220","M",32
"ID10000221","M",34
"ID20000222","M",33
"ID10000223","M",47
"ID20000224","M",35
"ID20000225","F",57
"ID10000226","M",34
"ID20000227","F",59
"ID10000228","M",46
"ID20000229","M",38
"ID10000230","M",39
"ID10000231","M",22
"ID10000232","M",39
"ID20000233","M",40
"ID20000234","M",39
"ID10000235","M",37
"ID20000236","F",54
"ID10000237","F",56
"ID20000238","M",43
"ID10000239","M",55
"ID10000240","F",53
"ID10000241","F",57
"ID20000242","F",56
"ID10000243","F",54
"ID10000244","F",52
"ID20000245","M",21
"ID10000246","F",52
"ID10000247","M",37
"ID10000248","F",56
"ID20000249","F",58
"ID20000250","F",54
"ID20000251","M",39
"ID20000252","F",56
"ID10000253","M",41
"ID10000254","M",21
"ID10000255","F",52
"ID20000256","M",36
"ID10000257","M",39
"ID20000258","F",59
"ID20000259","M",41
"ID10000260","M",28
"ID20000261","M",38
"ID20000262","M",46
"ID10000263","F",54
"ID20000264","F",53
"ID20000265","F",54
"ID20000266","F",56
"ID10000267","F",56
"ID20000268","M",44
"ID20000269","F",53
"ID10000270","M",31
"ID20000271","M",35
"ID10000272","F",55
"ID10000273","M",30
"ID20000274","M",34
"ID20000275","F",56
"ID20000276","F",57
"ID20000277","F",56
"ID10000278","M",32
"ID10000279","M",25
"ID20000280","M",33
"ID20000281","M",30
"ID20000282","F",56
"ID20000283","M",36
"ID10000284","M",43
"ID10000285","F",53
"ID10000286","M",35
"ID10000287","M",28
"ID10000288","M",33
"ID10000289","F",55
"ID10000290","M",33
"ID10000291","M",45
"ID20000292","M",28
"ID20000293","M",35
"ID20000294","F",58
"ID20000295","M",41
"ID10000296","M",39
"ID10000297","M",34
"ID10000298","F",51
"ID20000299","F",54
"ID20000300","M",39
"ID20000301","M",33
"ID20000302","M",34
"ID10000303","F",59
"ID20000304","M",28
"ID20000305","F",58
"ID10000306","M",40
"ID10000307","F",55
"ID20000308","M",43
"ID20000309","M",31
"ID20000310","F",55
"ID10000311","F",56
"ID10000312","M",34
"ID10000313","F",53
"ID10000314","M",30
"ID20000315","M",34
"ID10000316","F",51
"ID10000317","M",47
"ID10000318","F",55
"ID20000319","M",34
"ID20000320","M",37
"ID20000321","M",46
"ID10000322","F",57
"ID20000323","M",41
"ID10000324","F",51
"ID20000325","M",31
"ID20000326","M",38
"ID10000327","F",53
"ID10000328","M",39
"ID20000329","M",40
"ID20000330","M",33
"ID20000331","F",58
"ID20000332","M",35
"ID20000333","F",56
"ID10000334","M",37
"ID10000335","M",36
"ID20000336","F",55
"ID10000337","M",49
"ID10000338","M",40
"ID20000339","M",32
"ID20000340","M",30
"ID10000341","F",59
"ID20000342","F",52
"ID10000343","F",54
"ID10000344","F",58
"ID10000345","M",23
"ID20000346","F",59
"ID20000347","M",29
"ID20000348","F",55
"ID10000349","M",46
"ID20000350","M",43
"ID10000351","F",56
"ID20000352","M",33
"ID20000353","M",22
"ID20000354","M",39
"ID10000355","M",39
"ID20000356","F",55
"ID20000357","M",36
"ID10000358","F",55
"ID10000359","M",40
"ID10000360","M",33
"ID10000361","M",36
"ID10000362","M",36
"ID10000363","F",61
"ID10000364","M",40
"ID10000365","F",61
"ID10000366","M",42
"ID20000367","M",38
"ID10000368","M",41
"ID20000369","F",58
"ID20000370","F",57
"ID10000371","M",32
"ID10000372","F",60
"ID20000373","F",56
"ID20000374","F",58
"ID10000375","F",55
"ID10000376","M",39
"ID20000377","M",45
"ID20000378","F",54
"ID20000379","F",53
"ID20000380","F",54
"ID10000381","M",28
"ID20000382","F",51
"ID10000383","M",33
"ID20000384","F",56
"ID10000385","M",32
"ID20000386","F",60
"ID20000387","F",52
"ID20000388","F",56
"ID20000389","M",34
"ID20000390","M",43
"ID20000391","M",27
"ID10000392","M",38
"ID20000393","F",57
"ID10000394","F",55
"ID20000395","F",55
"ID10000396","F",56
"ID20000397","M",25
"ID10000398","M",49
"ID20000399","F",55
"ID20000400","M",32
"ID20000401","F",58
"ID10000402","F",57
"ID10000403","F",51
"ID20000404","F",60
"ID20000405","M",36
"ID10000406","F",54
"ID20000407","F",56
"ID10000408","F",55
"ID20000409","M",30
"ID20000410","F",58
"ID20000411","M",48
"ID20000412","M",25
"ID20000413","M",30
"ID20000414","M",38
"ID20000415","M",33
"ID10000416","F",52
"ID20000417","F",61
"ID10000418","F",55
"ID10000419","F",56
"ID20000420","F",56
"ID10000421","M",26
"ID10000422","M",35
"ID20000423","M",41
"ID20000424","F",59
"ID20000425","F",51
"ID20000426","M",30
"ID10000427","M",31
"ID20000428","F",55
"ID20000429","F",58
"ID10000430","F",53
"ID20000431","M",47
"ID20000432","M",33
"ID20000433","M",31
"ID10000434","M",18
"ID10000435","F",51
"ID10000436","F",58
"ID10000437","M",36
"ID10000438","F",61
"ID10000439","M",24
"ID20000440","M",36
"ID20000441","F",55
"ID10000442","F",62
"ID10000443","F",59
"ID20000444","F",55
"ID20000445","F",55
"ID20000446","M",30
"ID10000447","M",36
"ID20000448","M",31
"ID20000449","M",34
"ID20000450","M",34
"ID10000451","M",27
"ID20000452","M",49
"ID10000453","M",40
"ID20000454","F",55
"ID20000455","F",53
"ID20000456","F",56
"ID10000457","F",61
"ID10000458","F",58
"ID20000459","M",35
"ID10000460","F",56
"ID20000461","M",29
"ID20000462","F",53
"ID10000463","F",58
"ID20000464","M",35
"ID20000465","F",54
"ID10000466","M",26
"ID10000467","F",55
"ID20000468","F",59
"ID10000469","F",54
"ID20000470","F",57
"ID10000471","F",52
"ID10000472","M",25
"ID20000473","M",31
"ID10000474","M",33
"ID20000475","F",59
"ID10000476","M",22
"ID20000477","M",29
"ID10000478","M",41
"ID20000479","M",36
"ID20000480","F",58
"ID10000481","M",29
"ID10000482","M",42
"ID10000483","F",59
"ID10000484","M",34
"ID10000485","M",37
"ID20000486","M",35
"ID10000487","M",36
"ID20000488","M",40
"ID10000489","F",52
"ID20000490","M",37
"ID20000491","M",41
"ID20000492","M",36
"ID10000493","M",32
"ID20000494","M",33
"ID10000495","M",40
"ID10000496","M",39
"ID20000497","M",34
"ID20000498","M",47
"ID10000499","F",57
"ID20000500","M",45
"ID10000501","F",57
"ID10000502","M",31
"ID20000503","F",58
"ID10000504","M",27
"ID10000505","F",49
"ID10000506","F",54
"ID10000507","F",53
"ID20000508","F",58
"ID10000509","M",33
"ID10000510","M",43
"ID20000511","F",53
"ID20000512","M",35
"ID10000513","F",54
"ID10000514","F",56
"ID20000515","M",51
"ID10000516","M",23
"ID10000517","M",43
"ID20000518","M",37
"ID10000519","F",56
"ID10000520","M",32
"ID10000521","F",59
"ID20000522","M",43
"ID20000523","F",50
"ID10000524","F",51
"ID10000525","M",44
"ID10000526","M",24
"ID20000527","M",28
"ID10000528","M",41
"ID20000529","M",28
"ID10000530","M",24
"ID20000531","F",58
"ID20000532","F",58
"ID10000533","F",53
"ID10000534","M",31
"ID10000535","M",41
"ID20000536","F",54
"ID20000537","M",50
"ID20000538","F",53
"ID10000539","M",33
"ID20000540","F",54
"ID20000541","F",48
"ID10000542","M",25
"ID20000543","M",34
"ID10000544","F",54
"ID20000545","M",42
"ID20000546","M",42
"ID10000547","M",24
"ID20000548","F",55
"ID10000549","M",34
"ID10000550","M",31
"ID10000551","F",56
"ID20000552","M",36
"ID10000553","F",56
"ID10000554","M",36
"ID10000555","M",34
"ID20000556","M",34
"ID20000557","F",63
"ID10000558","F",51
"ID10000559","M",47
"ID10000560","M",50
"ID20000561","M",51
"ID20000562","M",37
"ID20000563","M",43
"ID10000564","M",45
"ID10000565","F",57
"ID20000566","M",26
"ID10000567","F",53
"ID20000568","M",44
"ID20000569","M",38
"ID20000570","M",37
"ID20000571","F",55
"ID20000572","M",44
"ID20000573","M",33
"ID20000574","M",24
"ID20000575","M",44
"ID10000576","M",35
"ID10000577","M",50
"ID10000578","F",51
"ID20000579","M",32
"ID20000580","M",22
"ID10000581","M",23
"ID10000582","M",29
"ID20000583","F",50
"ID10000584","F",56
"ID20000585","F",56
"ID20000586","M",35
"ID20000587","F",54
"ID20000588","M",31
"ID10000589","M",38
"ID10000590","M",19
"ID20000591","M",35
"ID20000592","F",52
"ID10000593","M",29
"ID10000594","M",34
"ID10000595","M",25
"ID10000596","F",54
"ID20000597","M",33
"ID20000598","M",47
"ID20000599","F",50
"ID10000600","M",38
"ID20000601","F",51
"ID20000602","M",39
"ID10000603","F",48
"ID20000604","F",55
"ID10000605","M",28
"ID10000606","M",30
"ID20000607","M",38
"ID10000608","M",38
"ID20000609","M",41
"ID20000610","M",39
"ID10000611","F",60
"ID10000612","M",43
"ID10000613","M",42
"ID20000614","F",54
"ID10000615","F",52
"ID10000616","F",53
"ID10000617","F",55
"ID10000618","M",29
"ID10000619","F",57
"ID10000620","M",33
"ID10000621","F",51
"ID10000622","M",39
"ID10000623","F",53
"ID20000624","F",55
"ID20000625","F",53
"ID10000626","M",23
"ID10000627","M",45
"ID20000628","F",53
"ID10000629","F",52
"ID20000630","M",36
"ID20000631","M",35
"ID20000632","F",55
"ID20000633","M",33
"ID20000634","F",53
"ID10000635","M",36
"ID20000636","M",35
"ID20000637","M",41
"ID20000638","M",41
"ID10000639","F",55
"ID10000640","M",37
"ID20000641","M",31
"ID10000642","F",56
"ID20000643","M",42
"ID20000644","F",57
"ID10000645","M",48
"ID10000646","F",50
"ID10000647","M",32
"ID20000648","F",57
"ID20000649","F",56
"ID10000650","M",32
"ID20000651","F",58
"ID10000652","M",39
"ID10000653","M",35
"ID10000654","F",55
"ID20000655","M",42
"ID10000656","M",36
"ID20000657","M",39
"ID20000658","M",35
"ID10000659","M",36
"ID10000660","M",26
"ID10000661","M",21
"ID10000662","M",48
"ID20000663","F",54
"ID10000664","M",25
"ID20000665","M",39
"ID20000666","M",43
"ID10000667","F",54
"ID20000668","M",47
"ID20000669","M",29
"ID20000670","F",58
"ID20000671","M",33
"ID10000672","M",47
"ID20000673","M",38
"ID20000674","F",54
"ID10000675","F",57
"ID10000676","F",53
"ID10000677","M",46
"ID20000678","M",26
"ID20000679","F",56
"ID20000680","M",27
"ID10000681","M",31
"ID10000682","F",51
"ID10000683","M",36
"ID10000684","F",52
"ID10000685","M",33
"ID10000686","F",55
"ID10000687","M",40
"ID20000688","M",34
"ID10000689","M",29
"ID10000690","M",52
"ID20000691","F",61
"ID20000692","M",26
"ID20000693","F",54
"ID20000694","F",58
"ID20000695","F",53
"ID20000696","F",57
"ID20000697","M",44
"ID20000698","M",42
"ID10000699","M",34
"ID10000700","F",56
"ID10000701","F",59
"ID10000702","M",34
"ID20000703","F",59
"ID20000704","M",30
"ID10000705","F",57
"ID10000706","M",33
"ID10000707","F",56
"ID20000708","M",40
"ID20000709","F",55
"ID20000710","M",30
"ID10000711","M",50
"ID10000712","M",45
"ID20000713","F",59
"ID20000714","M",31
"ID10000715","F",56
"ID10000716","M",30
"ID20000717","M",26
"ID20000718","M",42
"ID20000719","M",41
"ID10000720","M",36
"ID10000721","F",53
"ID20000722","F",53
"ID20000723","M",39
"ID20000724","M",29
"ID10000725","M",35
"ID10000726","F",47
"ID10000727","M",38
"ID10000728","M",40
"ID10000729","M",36
"ID20000730","F",56
"ID10000731","M",38
"ID20000732","F",56
"ID20000733","F",56
"ID10000734","F",55
"ID20000735","M",25
"ID20000736","M",34
"ID20000737","M",35
"ID20000738","F",55
"ID10000739","M",32
"ID20000740","F",56
"ID20000741","F",58
"ID10000742","F",52
"ID20000743","M",35
"ID20000744","M",38
"ID20000745","M",37
"ID10000746","M",40
"ID10000747","M",41
"ID20000748","M",28
"ID10000749","M",34
"ID10000750","F",55
"ID10000751","M",46
"ID10000752","M",33
"ID10000753","M",22
"ID20000754","F",61
"ID20000755","F",52
"ID20000756","M",43
"ID20000757","M",28
"ID10000758","M",26
"ID10000759","F",52
"ID20000760","M",27
"ID20000761","M",36
"ID10000762","M",37
"ID20000763","M",37
"ID10000764","F",56
"ID20000765","M",36
"ID10000766","M",22
"ID10000767","M",30
"ID20000768","M",28
"ID20000769","M",34
"ID10000770","F",52
"ID10000771","M",46
"ID10000772","M",34
"ID10000773","M",35
"ID10000774","F",55
"ID20000775","M",25
"ID20000776","M",43
"ID10000777","F",56
"ID10000778","M",29
"ID10000779","F",55
"ID20000780","M",27
"ID10000781","M",32
"ID20000782","M",34
"ID20000783","M",32
"ID10000784","M",42
"ID20000785","M",33
"ID20000786","F",57
"ID20000787","M",37
"ID20000788","M",51
"ID10000789","F",53
"ID10000790","M",38
"ID20000791","F",56
"ID10000792","M",34
"ID20000793","F",61
"ID20000794","M",30
"ID10000795","M",44
"ID10000796","M",39
"ID10000797","M",41
"ID10000798","F",58
"ID10000799","M",33
"ID10000800","M",33
"ID20000801","F",55
"ID10000802","M",40
"ID10000803","F",54
"ID20000804","M",35
"ID10000805","F",58
"ID20000806","M",28
"ID10000807","M",23
"ID20000808","M",47
"ID10000809","F",52
"ID20000810","F",52
"ID20000811","M",27
"ID20000812","M",27
"ID20000813","M",38
"ID10000814","F",51
"ID20000815","M",37
"ID10000816","M",31
"ID10000817","M",28
"ID20000818","M",31
"ID10000819","F",57
"ID20000820","M",33
"ID10000821","M",39
"ID10000822","M",36
"ID20000823","M",46
"ID10000824","F",59
"ID10000825","F",55
"ID10000826","M",36
"ID10000827","F",55
"ID20000828","M",27
"ID10000829","F",56
"ID20000830","M",45
"ID20000831","M",36
"ID10000832","M",31
"ID10000833","M",40
"ID20000834","F",57
"ID10000835","F",55
"ID10000836","F",56
"ID20000837","M",44
"ID10000838","M",27
"ID10000839","F",52
"ID10000840","M",36
"ID20000841","M",35
"ID10000842","M",27
"ID10000843","M",30
"ID10000844","M",37
"ID10000845","F",52
"ID10000846","M",40
"ID20000847","F",52
"ID20000848","M",35
"ID20000849","M",41
"ID20000850","M",25
"ID20000851","F",57
"ID10000852","F",61
"ID10000853","F",51
"ID10000854","F",55
"ID10000855","M",36
"ID20000856","M",33
"ID20000857","M",49
"ID10000858","M",24
"ID20000859","M",40
"ID10000860","F",55
"ID10000861","M",39
"ID20000862","M",43
"ID20000863","F",62
"ID10000864","M",32
"ID20000865","M",30
"ID10000866","M",34
"ID10000867","M",32
"ID20000868","F",53
"ID20000869","F",54
"ID10000870","F",63
"ID10000871","M",32
"ID20000872","M",41
"ID20000873","F",58
"ID20000874","M",40
"ID10000875","M",25
"ID20000876","F",56
"ID20000877","M",32
"ID20000878","F",56
"ID20000879","M",29
"ID20000880","M",39
"ID10000881","F",56
"ID20000882","M",41
"ID10000883","M",34
"ID20000884","M",29
"ID10000885","F",57
"ID20000886","F",50
"ID20000887","F",57
"ID10000888","M",33
"ID20000889","M",39
"ID10000890","F",63
"ID20000891","M",36
"ID10000892","F",52
"ID20000893","M",32
"ID20000894","F",54
"ID20000895","M",38
"ID10000896","M",14
"ID10000897","M",27
"ID20000898","F",49
"ID10000899","F",57
"ID20000900","M",41
"ID10000901","M",45
"ID20000902","M",23
"ID20000903","F",55
"ID20000904","M",48
"ID10000905","F",55
"ID20000906","M",35
"ID10000907","M",45
"ID20000908","F",53
"ID20000909","M",37
"ID20000910","M",33
"ID20000911","M",30
"ID20000912","M",32
"ID20000913","F",57
"ID20000914","M",34
"ID10000915","F",53
"ID20000916","M",40
"ID10000917","F",57
"ID10000918","F",55
"ID10000919","F",54
"ID20000920","M",32
"ID10000921","F",60
"ID10000922","M",32
"ID10000923","F",61
"ID10000924","F",46
"ID10000925","M",43
"ID20000926","M",38
"ID20000927","M",43
"ID10000928","M",34
"ID10000929","F",52
"ID10000930","M",32
"ID10000931","M",35
"ID20000932","M",31
"ID10000933","F",55
"ID20000934","F",56
"ID10000935","M",30
"ID10000936","F",60
"ID10000937","F",56
"ID20000938","M",25
"ID20000939","M",37
"ID20000940","M",19
"ID20000941","M",34
"ID10000942","F",54
"ID20000943","M",32
"ID20000944","F",58
"ID10000945","M",30
"ID10000946","M",36
"ID10000947","F",57
"ID10000948","F",59
"ID20000949","M",34
"ID10000950","M",29
"ID10000951","F",55
"ID20000952","F",55
"ID20000953","M",40
"ID20000954","F",54
"ID20000955","M",30
"ID20000956","M",32
"ID10000957","F",63
"ID20000958","M",27
"ID20000959","M",22
"ID10000960","M",41
"ID20000961","M",34
"ID10000962","M",39
"ID20000963","M",36
"ID10000964","M",38
"ID20000965","M",37
"ID10000966","M",38
"ID20000967","M",29
"ID10000968","F",58
"ID20000969","F",54
"ID10000970","M",26
"ID20000971","M",40
"ID10000972","M",46
"ID10000973","M",24
"ID20000974","M",41
"ID10000975","M",28
"ID20000976","F",53
"ID10000977","F",63
"ID20000978","F",58
"ID20000979","M",42
"ID10000980","M",31
"ID10000981","M",34
"ID10000982","M",38
"ID20000983","M",35
"ID20000984","F",56
"ID10000985","M",39
"ID10000986","F",57
"ID20000987","M",38
"ID10000988","M",27
"ID20000989","F",58
"ID20000990","M",27
"ID10000991","F",53
"ID10000992","M",29
"ID20000993","F",57
"ID10000994","M",41
"ID10000995","M",35
"ID20000996","F",52
"ID20000997","M",40
"ID10000998","M",36
"ID20000999","M",45
"ID20001000","M",34
"ID20001001","F",58
"ID10001002","F",56
"ID10001003","M",33
"ID10001004","F",54
"ID10001005","F",50
"ID20001006","F",60
"ID10001007","F",54
"ID10001008","F",59
"ID10001009","M",41
"ID20001010","M",33
"ID10001011","M",41
"ID10001012","M",34
"ID20001013","M",34
"ID20001014","M",36
"ID10001015","M",42
"ID20001016","M",38
"ID20001017","M",36
"ID10001018","M",48
"ID20001019","M",31
"ID10001020","M",39
"ID10001021","F",52
"ID20001022","M",31
"ID10001023","M",26
"ID20001024","M",42
"ID10001025","F",57
"ID20001026","M",31
"ID10001027","M",31
"ID20001028","M",38
"ID20001029","M",33
"ID10001030","M",43
"ID10001031","F",53
"ID20001032","M",38
"ID20001033","M",32
"ID20001034","M",39
"ID20001035","M",53
"ID20001036","M",33
"ID10001037","F",50
"ID20001038","F",53
"ID10001039","F",57
"ID10001040","F",54
"ID20001041","M",28
"ID10001042","M",31
"ID10001043","F",55
"ID10001044","F",55
"ID20001045","F",53
"ID10001046","F",54
"ID10001047","M",40
"ID20001048","M",37
"ID10001049","M",36
"ID10001050","F",55
"ID20001051","F",59
"ID20001052","M",36
"ID10001053","M",32
"ID20001054","M",33
"ID20001055","M",40
"ID20001056","M",25
"ID10001057","F",59
"ID10001058","M",29
"ID10001059","M",46
"ID10001060","F",48
"ID10001061","M",17
"ID10001062","M",39
"ID20001063","M",32
"ID10001064","M",33
"ID10001065","F",54
"ID10001066","M",30
"ID20001067","M",39
"ID20001068","F",52
"ID20001069","F",53
"ID20001070","M",41
"ID10001071","F",52
"ID20001072","F",57
"ID20001073","M",41
"ID10001074","M",31
"ID20001075","M",36
"ID10001076","M",38
"ID20001077","M",29
"ID10001078","M",38
"ID20001079","M",33
"ID10001080","M",37
"ID10001081","M",40
"ID10001082","M",26
"ID20001083","F",54
"ID20001084","M",34
"ID20001085","M",37
"ID10001086","F",55
"ID20001087","M",33
"ID20001088","F",55
"ID10001089","M",45
"ID10001090","F",56
"ID20001091","M",25
"ID20001092","F",53
"ID20001093","M",42
"ID20001094","M",32
"ID10001095","M",36
"ID20001096","M",37
"ID10001097","F",52
"ID10001098","F",55
"ID20001099","M",33
"ID20001100","F",58
"ID20001101","M",40
"ID10001102","F",57
"ID20001103","F",56
"ID10001104","M",32
"ID20001105","M",43
"ID20001106","F",53
"ID20001107","F",60
"ID20001108","M",37
"ID10001109","F",55
"ID10001110","F",51
"ID20001111","F",55
"ID20001112","F",57
"ID20001113","F",59
"ID20001114","M",45
"ID20001115","M",33
"ID20001116","M",32
"ID20001117","F",59
"ID10001118","M",26
"ID20001119","F",53
"ID10001120","M",42
"ID10001121","M",31
"ID20001122","F",61
"ID20001123","F",56
"ID10001124","M",40
"ID20001125","F",52
"ID20001126","M",42
"ID20001127","F",54
"ID20001128","F",56
"ID10001129","M",45
"ID10001130","M",34
"ID20001131","M",33
"ID10001132","F",54
"ID10001133","M",37
"ID10001134","F",48
"ID20001135","M",41
"ID10001136","M",30
"ID10001137","F",48
"ID10001138","F",53
"ID10001139","M",39
"ID20001140","M",36
"ID20001141","M",36
"ID10001142","F",54
"ID10001143","F",50
"ID10001144","M",44
"ID10001145","M",22
"ID10001146","F",56
"ID10001147","F",53
"ID10001148","F",51
"ID10001149","F",56
"ID20001150","M",28
"ID10001151","M",42
"ID10001152","M",33
"ID20001153","M",25
"ID20001154","M",49
"ID10001155","F",57
"ID10001156","F",56
"ID20001157","M",38
"ID10001158","F",54
"ID10001159","F",56
"ID20001160","F",52
"ID20001161","F",55
"ID20001162","M",44
"ID20001163","F",57
"ID20001164","F",52
"ID10001165","M",27
"ID20001166","M",34
"ID20001167","M",37
"ID20001168","M",44
"ID20001169","M",25
"ID20001170","M",32
"ID20001171","F",54
"ID20001172","F",55
"ID20001173","F",53
"ID20001174","F",53
"ID10001175","F",59
"ID10001176","F",56
"ID20001177","F",62
"ID10001178","F",49
"ID10001179","M",31
"ID20001180","F",53
"ID10001181","F",62
"ID20001182","M",54
"ID10001183","M",41
"ID10001184","F",56
"ID10001185","M",34
"ID10001186","M",50
"ID20001187","F",48
"ID20001188","F",53
"ID10001189","F",61
"ID10001190","F",54
"ID20001191","M",30
"ID20001192","F",60
"ID20001193","F",54
"ID20001194","M",29
"ID10001195","F",56
"ID10001196","M",33
"ID20001197","F",52
"ID20001198","M",41
"ID10001199","M",22
"ID20001200","M",34
"ID20001201","F",52
"ID10001202","M",34
"ID10001203","M",43
"ID20001204","F",59
"ID10001205","M",33
"ID20001206","M",30
"ID10001207","M",36
"ID20001208","F",55
"ID10001209","M",33
"ID20001210","M",38
"ID20001211","F",58
"ID10001212","F",55
"ID20001213","M",30
"ID20001214","F",50
"ID10001215","M",51
"ID20001216","F",57
"ID10001217","M",43
"ID20001218","F",53
"ID10001219","M",30
"ID20001220","M",32
"ID10001221","F",52
"ID10001222","F",54
"ID10001223","M",35
"ID10001224","F",48
"ID10001225","M",40
"ID20001226","M",47
"ID20001227","M",39
"ID20001228","F",64
"ID20001229","M",38
"ID20001230","M",34
"ID20001231","F",54
"ID10001232","M",16
"ID20001233","F",53
"ID20001234","M",43
"ID20001235","M",22
"ID10001236","F",56
"ID10001237","F",55
"ID10001238","M",41
"ID10001239","F",55
"ID10001240","F",57
"ID10001241","F",57
"ID10001242","F",55
"ID10001243","F",54
"ID20001244","F",60
"ID20001245","M",28
"ID10001246","F",53
"ID10001247","M",38
"ID10001248","M",31
"ID20001249","M",40
"ID20001250","M",53
"ID10001251","F",57
"ID20001252","M",37
"ID10001253","F",56
"ID20001254","M",24
"ID20001255","M",42
"ID10001256","M",37
"ID20001257","M",24
"ID20001258","M",36
"ID20001259","M",22
"ID10001260","M",32
"ID20001261","M",30
"ID20001262","M",25
"ID10001263","M",43
"ID20001264","M",41
"ID20001265","F",58
"ID20001266","M",44
"ID20001267","M",23
"ID10001268","F",57
"ID10001269","M",34
"ID20001270","M",35
